Policy_Number,Policy_Type,Coverage,Exclusions,Duration,Premium,Renewal_Option
POL455Q,Property,Covers accidental damage and theft,Dental and cosmetic procedures excluded,20 Years,"₹25,000",Online Renewal Available
POL211V,Travel,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,20 Years,"₹8,000",Offline Renewal Only
POL532N,Property,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,10 Years,"₹20,000",Offline Renewal Only
POL488C,Life,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,3 Years,"₹15,000",Offline Renewal Only
POL478T,Health,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,20 Years,"₹25,000",Online Renewal Available
POL114K,Life,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,Annual,"₹18,000",Online Renewal Available
POL571E,Travel,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,5 Years,"₹8,000",Offline Renewal Only
POL521Y,Travel,Covers personal accident injuries and liabilities,Suicide not covered for first year,5 Years,"₹30,000",Online Renewal Available
POL974W,Health,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,5 Years,"₹20,000",Offline Renewal Only
POL350Y,Property,"Covers fire, flood, and natural disasters",Suicide not covered for first year,10 Years,"₹30,000",Online Renewal Available
POL422W,Life,Covers emergency medical expenses abroad,Suicide not covered for first year,3 Years,"₹20,000",Offline Renewal Only
POL845V,Motor,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,3 Years,"₹12,000",Online Renewal Available
POL912O,Property,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,20 Years,"₹25,000",Offline Renewal Only
POL732D,Health,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,Annual,"₹20,000",Online Renewal Available
POL311J,Accident,Covers accidental damage and theft,Dental and cosmetic procedures excluded,10 Years,"₹30,000",Offline Renewal Only
POL389Y,Accident,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,10 Years,"₹10,000",Online Renewal Available
POL258Y,Motor,Covers accidental damage and theft,Claims under alcohol influence excluded,Annual,"₹15,000",Online Renewal Available
POL259P,Accident,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,Annual,"₹30,000",Online Renewal Available
POL524C,Motor,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,10 Years,"₹25,000",Offline Renewal Only
POL989Z,Motor,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,20 Years,"₹25,000",Offline Renewal Only
POL924C,Accident,Covers death due to natural or accidental causes,War-related damages excluded,3 Years,"₹8,000",Offline Renewal Only
POL615B,Life,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,10 Years,"₹8,000",Offline Renewal Only
POL800P,Travel,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,5 Years,"₹20,000",Offline Renewal Only
POL978H,Travel,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,3 Years,"₹10,000",Online Renewal Available
POL663F,Life,Covers emergency medical expenses abroad,Adventure sports injuries excluded,10 Years,"₹30,000",Offline Renewal Only
POL892J,Accident,Covers personal accident injuries and liabilities,Suicide not covered for first year,10 Years,"₹20,000",Online Renewal Available
POL173B,Travel,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,Annual,"₹8,000",Offline Renewal Only
POL456Y,Health,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,3 Years,"₹30,000",Online Renewal Available
POL678C,Motor,Covers death due to natural or accidental causes,War-related damages excluded,5 Years,"₹12,000",Offline Renewal Only
POL623S,Travel,Covers emergency medical expenses abroad,Suicide not covered for first year,3 Years,"₹25,000",Offline Renewal Only
POL668V,Travel,Covers personal accident injuries and liabilities,Suicide not covered for first year,10 Years,"₹15,000",Offline Renewal Only
POL148B,Accident,Covers death due to natural or accidental causes,Suicide not covered for first year,20 Years,"₹30,000",Online Renewal Available
POL907W,Health,Covers emergency medical expenses abroad,Suicide not covered for first year,Annual,"₹20,000",Offline Renewal Only
POL773V,Property,Covers emergency medical expenses abroad,Suicide not covered for first year,5 Years,"₹15,000",Offline Renewal Only
POL776E,Motor,Covers personal accident injuries and liabilities,War-related damages excluded,10 Years,"₹30,000",Offline Renewal Only
POL445F,Life,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,10 Years,"₹18,000",Offline Renewal Only
POL390H,Health,Covers death due to natural or accidental causes,Adventure sports injuries excluded,20 Years,"₹12,000",Online Renewal Available
POL116K,Property,"Covers fire, flood, and natural disasters",War-related damages excluded,10 Years,"₹25,000",Online Renewal Available
POL798L,Motor,Covers death due to natural or accidental causes,War-related damages excluded,3 Years,"₹10,000",Online Renewal Available
POL934X,Travel,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,20 Years,"₹25,000",Online Renewal Available
POL223N,Accident,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,10 Years,"₹25,000",Offline Renewal Only
POL281T,Travel,Covers emergency medical expenses abroad,Suicide not covered for first year,5 Years,"₹30,000",Offline Renewal Only
POL318Z,Motor,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,10 Years,"₹15,000",Offline Renewal Only
POL426M,Property,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,3 Years,"₹15,000",Online Renewal Available
POL215F,Motor,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,20 Years,"₹8,000",Offline Renewal Only
POL992N,Travel,Covers emergency medical expenses abroad,Suicide not covered for first year,10 Years,"₹18,000",Online Renewal Available
POL493U,Travel,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,5 Years,"₹18,000",Offline Renewal Only
POL922N,Life,Covers emergency medical expenses abroad,Suicide not covered for first year,20 Years,"₹15,000",Offline Renewal Only
POL244H,Property,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,20 Years,"₹18,000",Online Renewal Available
POL491Q,Accident,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,20 Years,"₹30,000",Online Renewal Available
POL933L,Life,Covers death due to natural or accidental causes,Suicide not covered for first year,10 Years,"₹18,000",Offline Renewal Only
POL697P,Life,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,3 Years,"₹10,000",Offline Renewal Only
POL797I,Property,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,5 Years,"₹20,000",Online Renewal Available
POL872U,Accident,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,3 Years,"₹15,000",Online Renewal Available
POL182Z,Travel,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,Annual,"₹15,000",Online Renewal Available
POL809I,Property,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,5 Years,"₹30,000",Offline Renewal Only
POL706R,Health,Covers emergency medical expenses abroad,Suicide not covered for first year,5 Years,"₹30,000",Offline Renewal Only
POL152R,Life,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,5 Years,"₹10,000",Offline Renewal Only
POL409B,Accident,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,3 Years,"₹30,000",Offline Renewal Only
POL552H,Travel,Covers accidental damage and theft,Suicide not covered for first year,Annual,"₹8,000",Online Renewal Available
POL451M,Property,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,5 Years,"₹20,000",Online Renewal Available
POL704B,Motor,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,3 Years,"₹10,000",Online Renewal Available
POL280H,Life,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,10 Years,"₹15,000",Online Renewal Available
POL450L,Life,Covers accidental damage and theft,Suicide not covered for first year,5 Years,"₹12,000",Offline Renewal Only
POL524T,Motor,Covers death due to natural or accidental causes,Suicide not covered for first year,Annual,"₹8,000",Offline Renewal Only
POL220P,Life,Covers accidental damage and theft,Suicide not covered for first year,Annual,"₹30,000",Offline Renewal Only
POL312L,Property,Covers personal accident injuries and liabilities,War-related damages excluded,10 Years,"₹10,000",Online Renewal Available
POL946W,Property,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,5 Years,"₹10,000",Offline Renewal Only
POL795K,Health,Covers emergency medical expenses abroad,Suicide not covered for first year,3 Years,"₹8,000",Online Renewal Available
POL745Y,Life,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,20 Years,"₹8,000",Offline Renewal Only
POL754B,Life,Covers death due to natural or accidental causes,Suicide not covered for first year,10 Years,"₹10,000",Online Renewal Available
POL954X,Life,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,Annual,"₹12,000",Offline Renewal Only
POL959D,Life,Covers accidental damage and theft,War-related damages excluded,10 Years,"₹12,000",Online Renewal Available
POL877V,Travel,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,10 Years,"₹18,000",Offline Renewal Only
POL761N,Health,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,10 Years,"₹8,000",Online Renewal Available
POL961E,Accident,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,5 Years,"₹30,000",Online Renewal Available
POL456Q,Accident,Covers personal accident injuries and liabilities,Suicide not covered for first year,5 Years,"₹25,000",Offline Renewal Only
POL688O,Accident,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,10 Years,"₹10,000",Offline Renewal Only
POL738R,Life,Covers emergency medical expenses abroad,Suicide not covered for first year,20 Years,"₹10,000",Online Renewal Available
POL861S,Motor,Covers accidental damage and theft,War-related damages excluded,Annual,"₹15,000",Offline Renewal Only
POL296G,Motor,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,3 Years,"₹10,000",Offline Renewal Only
POL245K,Accident,Covers death due to natural or accidental causes,War-related damages excluded,20 Years,"₹20,000",Offline Renewal Only
POL112Y,Health,Covers accidental damage and theft,Suicide not covered for first year,20 Years,"₹18,000",Online Renewal Available
POL359S,Travel,Covers accidental damage and theft,War-related damages excluded,10 Years,"₹30,000",Online Renewal Available
POL800D,Accident,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,3 Years,"₹10,000",Offline Renewal Only
POL132D,Travel,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,10 Years,"₹18,000",Offline Renewal Only
POL146M,Accident,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,Annual,"₹12,000",Online Renewal Available
POL329L,Health,Covers emergency medical expenses abroad,Adventure sports injuries excluded,3 Years,"₹10,000",Online Renewal Available
POL391Z,Life,Covers emergency medical expenses abroad,Suicide not covered for first year,3 Years,"₹8,000",Online Renewal Available
POL917E,Travel,Covers emergency medical expenses abroad,Suicide not covered for first year,20 Years,"₹8,000",Offline Renewal Only
POL899D,Travel,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,Annual,"₹20,000",Online Renewal Available
POL825S,Motor,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,3 Years,"₹18,000",Online Renewal Available
POL917D,Travel,Covers emergency medical expenses abroad,War-related damages excluded,3 Years,"₹8,000",Offline Renewal Only
POL674H,Travel,"Covers fire, flood, and natural disasters",War-related damages excluded,10 Years,"₹18,000",Online Renewal Available
POL838N,Property,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,20 Years,"₹15,000",Offline Renewal Only
POL977S,Motor,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,20 Years,"₹15,000",Online Renewal Available
POL261Q,Property,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,3 Years,"₹12,000",Online Renewal Available
POL952G,Life,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,20 Years,"₹18,000",Online Renewal Available
POL132O,Property,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,Annual,"₹18,000",Online Renewal Available
POL833S,Health,Covers emergency medical expenses abroad,Adventure sports injuries excluded,3 Years,"₹8,000",Offline Renewal Only
POL172Z,Health,Covers accidental damage and theft,War-related damages excluded,3 Years,"₹20,000",Online Renewal Available
POL526B,Life,Covers accidental damage and theft,Adventure sports injuries excluded,20 Years,"₹18,000",Online Renewal Available
POL873G,Accident,Covers emergency medical expenses abroad,War-related damages excluded,5 Years,"₹25,000",Offline Renewal Only
POL602A,Travel,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,Annual,"₹18,000",Online Renewal Available
POL580C,Travel,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,5 Years,"₹30,000",Online Renewal Available
POL565F,Property,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,3 Years,"₹15,000",Online Renewal Available
POL876Q,Motor,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,5 Years,"₹20,000",Offline Renewal Only
POL862S,Accident,Covers personal accident injuries and liabilities,War-related damages excluded,5 Years,"₹12,000",Online Renewal Available
POL212O,Motor,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,5 Years,"₹25,000",Online Renewal Available
POL118H,Life,Covers personal accident injuries and liabilities,War-related damages excluded,10 Years,"₹25,000",Online Renewal Available
POL327G,Life,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,3 Years,"₹12,000",Online Renewal Available
POL412A,Travel,Covers accidental damage and theft,Dental and cosmetic procedures excluded,Annual,"₹10,000",Offline Renewal Only
POL105L,Life,"Covers fire, flood, and natural disasters",War-related damages excluded,10 Years,"₹20,000",Online Renewal Available
POL153I,Travel,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,5 Years,"₹12,000",Online Renewal Available
POL879R,Accident,Covers accidental damage and theft,War-related damages excluded,5 Years,"₹20,000",Online Renewal Available
POL156Z,Accident,Covers accidental damage and theft,Dental and cosmetic procedures excluded,20 Years,"₹8,000",Online Renewal Available
POL677H,Accident,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,10 Years,"₹18,000",Offline Renewal Only
POL628E,Motor,"Covers fire, flood, and natural disasters",Suicide not covered for first year,3 Years,"₹15,000",Online Renewal Available
POL181Y,Life,Covers death due to natural or accidental causes,Suicide not covered for first year,10 Years,"₹8,000",Offline Renewal Only
POL170G,Property,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,3 Years,"₹10,000",Online Renewal Available
POL807P,Travel,Covers death due to natural or accidental causes,Suicide not covered for first year,3 Years,"₹12,000",Offline Renewal Only
POL200O,Motor,Covers accidental damage and theft,Suicide not covered for first year,5 Years,"₹15,000",Offline Renewal Only
POL149K,Life,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,3 Years,"₹12,000",Online Renewal Available
POL575T,Motor,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,10 Years,"₹12,000",Online Renewal Available
POL883E,Travel,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,Annual,"₹20,000",Online Renewal Available
POL798G,Accident,Covers emergency medical expenses abroad,War-related damages excluded,10 Years,"₹15,000",Online Renewal Available
POL678Q,Travel,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,5 Years,"₹20,000",Offline Renewal Only
POL194G,Travel,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,3 Years,"₹30,000",Online Renewal Available
POL458F,Health,Covers emergency medical expenses abroad,War-related damages excluded,10 Years,"₹8,000",Offline Renewal Only
POL186Q,Accident,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,3 Years,"₹18,000",Online Renewal Available
POL127I,Property,Covers emergency medical expenses abroad,War-related damages excluded,5 Years,"₹10,000",Offline Renewal Only
POL448A,Accident,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,Annual,"₹20,000",Offline Renewal Only
POL912W,Travel,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,20 Years,"₹10,000",Online Renewal Available
POL843H,Health,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,Annual,"₹15,000",Online Renewal Available
POL160J,Travel,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,10 Years,"₹30,000",Online Renewal Available
POL454V,Accident,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,5 Years,"₹10,000",Offline Renewal Only
POL864I,Health,Covers accidental damage and theft,War-related damages excluded,5 Years,"₹10,000",Online Renewal Available
POL611A,Life,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,Annual,"₹10,000",Offline Renewal Only
POL236B,Property,Covers emergency medical expenses abroad,Suicide not covered for first year,20 Years,"₹10,000",Online Renewal Available
POL689J,Motor,"Covers fire, flood, and natural disasters",Pre-existing conditions excluded for 2 years,3 Years,"₹18,000",Offline Renewal Only
POL251U,Motor,Covers accidental damage and theft,Claims under alcohol influence excluded,5 Years,"₹20,000",Online Renewal Available
POL651J,Health,"Covers fire, flood, and natural disasters",Suicide not covered for first year,10 Years,"₹18,000",Online Renewal Available
POL526J,Property,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,20 Years,"₹10,000",Offline Renewal Only
POL491I,Health,Covers accidental damage and theft,Claims under alcohol influence excluded,5 Years,"₹25,000",Offline Renewal Only
POL117J,Health,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,3 Years,"₹10,000",Offline Renewal Only
POL345L,Accident,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,3 Years,"₹15,000",Online Renewal Available
POL202Y,Life,"Covers fire, flood, and natural disasters",Suicide not covered for first year,Annual,"₹10,000",Offline Renewal Only
POL114C,Travel,Covers emergency medical expenses abroad,Pre-existing conditions excluded for 2 years,10 Years,"₹10,000",Offline Renewal Only
POL470D,Accident,Covers personal accident injuries and liabilities,Suicide not covered for first year,10 Years,"₹25,000",Offline Renewal Only
POL989M,Motor,Covers emergency medical expenses abroad,Suicide not covered for first year,20 Years,"₹30,000",Online Renewal Available
POL834P,Life,Covers death due to natural or accidental causes,War-related damages excluded,10 Years,"₹15,000",Online Renewal Available
POL276T,Health,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,10 Years,"₹20,000",Offline Renewal Only
POL753O,Travel,Covers accidental damage and theft,Dental and cosmetic procedures excluded,20 Years,"₹20,000",Online Renewal Available
POL503N,Health,Covers death due to natural or accidental causes,Adventure sports injuries excluded,10 Years,"₹12,000",Offline Renewal Only
POL466D,Motor,Covers death due to natural or accidental causes,Dental and cosmetic procedures excluded,20 Years,"₹18,000",Offline Renewal Only
POL727D,Accident,Covers death due to natural or accidental causes,Adventure sports injuries excluded,5 Years,"₹25,000",Offline Renewal Only
POL853I,Health,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,Annual,"₹15,000",Online Renewal Available
POL556L,Travel,Covers death due to natural or accidental causes,Suicide not covered for first year,10 Years,"₹20,000",Online Renewal Available
POL115M,Life,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,20 Years,"₹8,000",Online Renewal Available
POL979B,Health,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,Annual,"₹25,000",Online Renewal Available
POL361K,Travel,"Covers fire, flood, and natural disasters",Suicide not covered for first year,20 Years,"₹25,000",Online Renewal Available
POL374R,Health,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,5 Years,"₹12,000",Offline Renewal Only
POL844Z,Health,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,10 Years,"₹12,000",Online Renewal Available
POL636O,Motor,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,20 Years,"₹12,000",Offline Renewal Only
POL115I,Accident,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,10 Years,"₹20,000",Online Renewal Available
POL475J,Motor,Covers personal accident injuries and liabilities,Suicide not covered for first year,Annual,"₹25,000",Offline Renewal Only
POL464K,Property,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,3 Years,"₹20,000",Offline Renewal Only
POL569R,Life,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,10 Years,"₹8,000",Online Renewal Available
POL547K,Health,Covers personal accident injuries and liabilities,Dental and cosmetic procedures excluded,10 Years,"₹20,000",Online Renewal Available
POL324Z,Life,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,Annual,"₹12,000",Online Renewal Available
POL591W,Property,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,Annual,"₹10,000",Online Renewal Available
POL149J,Travel,Covers death due to natural or accidental causes,War-related damages excluded,10 Years,"₹20,000",Offline Renewal Only
POL977L,Health,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,Annual,"₹20,000",Offline Renewal Only
POL858Y,Motor,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,20 Years,"₹25,000",Online Renewal Available
POL114U,Property,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,3 Years,"₹10,000",Offline Renewal Only
POL434R,Health,Covers emergency medical expenses abroad,War-related damages excluded,10 Years,"₹20,000",Online Renewal Available
POL732Z,Accident,Covers accidental damage and theft,Adventure sports injuries excluded,5 Years,"₹8,000",Offline Renewal Only
POL742Z,Life,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,5 Years,"₹15,000",Online Renewal Available
POL280X,Health,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,10 Years,"₹25,000",Online Renewal Available
POL466L,Life,"Covers fire, flood, and natural disasters",Dental and cosmetic procedures excluded,Annual,"₹30,000",Online Renewal Available
POL140K,Motor,"Covers fire, flood, and natural disasters",War-related damages excluded,5 Years,"₹30,000",Offline Renewal Only
POL323J,Accident,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,5 Years,"₹18,000",Offline Renewal Only
POL449T,Travel,Covers personal accident injuries and liabilities,Adventure sports injuries excluded,20 Years,"₹20,000",Online Renewal Available
POL993U,Travel,"Covers fire, flood, and natural disasters",Suicide not covered for first year,10 Years,"₹25,000",Online Renewal Available
POL830N,Health,"Covers fire, flood, and natural disasters",Claims under alcohol influence excluded,10 Years,"₹12,000",Offline Renewal Only
POL598Y,Motor,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,20 Years,"₹30,000",Offline Renewal Only
POL168R,Life,Covers emergency medical expenses abroad,War-related damages excluded,3 Years,"₹12,000",Online Renewal Available
POL384I,Health,"Covers fire, flood, and natural disasters",War-related damages excluded,3 Years,"₹8,000",Offline Renewal Only
POL167Q,Property,Covers accidental damage and theft,Adventure sports injuries excluded,3 Years,"₹18,000",Offline Renewal Only
POL320C,Accident,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,5 Years,"₹25,000",Online Renewal Available
POL736X,Property,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,Annual,"₹20,000",Online Renewal Available
POL534Q,Life,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,5 Years,"₹15,000",Offline Renewal Only
POL569P,Travel,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,10 Years,"₹10,000",Online Renewal Available
POL811E,Motor,"Covers hospitalization up to ₹2,00,000",Suicide not covered for first year,20 Years,"₹12,000",Online Renewal Available
POL496A,Life,Covers emergency medical expenses abroad,Claims under alcohol influence excluded,10 Years,"₹8,000",Offline Renewal Only
POL832M,Motor,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,Annual,"₹25,000",Offline Renewal Only
POL295Y,Motor,"Covers hospitalization up to ₹2,00,000",Pre-existing conditions excluded for 2 years,Annual,"₹10,000",Offline Renewal Only
POL160G,Travel,Covers accidental damage and theft,Claims under alcohol influence excluded,20 Years,"₹20,000",Online Renewal Available
POL580B,Property,Covers personal accident injuries and liabilities,Claims under alcohol influence excluded,5 Years,"₹12,000",Online Renewal Available
POL511L,Motor,Covers accidental damage and theft,Suicide not covered for first year,3 Years,"₹8,000",Online Renewal Available
POL104S,Motor,Covers emergency medical expenses abroad,War-related damages excluded,Annual,"₹30,000",Online Renewal Available
POL647Y,Motor,Covers accidental damage and theft,Adventure sports injuries excluded,5 Years,"₹18,000",Online Renewal Available
POL902P,Motor,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,5 Years,"₹15,000",Offline Renewal Only
POL772G,Motor,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,5 Years,"₹8,000",Offline Renewal Only
POL166X,Life,Covers death due to natural or accidental causes,Adventure sports injuries excluded,3 Years,"₹10,000",Offline Renewal Only
POL276D,Accident,Covers emergency medical expenses abroad,War-related damages excluded,10 Years,"₹8,000",Offline Renewal Only
POL143T,Property,Covers death due to natural or accidental causes,War-related damages excluded,Annual,"₹10,000",Offline Renewal Only
POL978I,Property,"Covers fire, flood, and natural disasters",Suicide not covered for first year,10 Years,"₹25,000",Offline Renewal Only
POL239I,Motor,Covers personal accident injuries and liabilities,Suicide not covered for first year,3 Years,"₹10,000",Online Renewal Available
POL245S,Accident,"Covers hospitalization up to ₹2,00,000",Adventure sports injuries excluded,3 Years,"₹8,000",Offline Renewal Only
POL612M,Property,"Covers fire, flood, and natural disasters",Adventure sports injuries excluded,3 Years,"₹15,000",Online Renewal Available
POL812Z,Accident,"Covers hospitalization up to ₹2,00,000",War-related damages excluded,3 Years,"₹15,000",Offline Renewal Only
POL480V,Accident,"Covers hospitalization up to ₹2,00,000",Claims under alcohol influence excluded,3 Years,"₹12,000",Online Renewal Available
POL977L,Property,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,10 Years,"₹12,000",Online Renewal Available
POL753H,Accident,Covers accidental damage and theft,Pre-existing conditions excluded for 2 years,5 Years,"₹18,000",Online Renewal Available
POL780O,Motor,Covers death due to natural or accidental causes,Adventure sports injuries excluded,3 Years,"₹30,000",Offline Renewal Only
POL892Q,Life,Covers personal accident injuries and liabilities,Pre-existing conditions excluded for 2 years,Annual,"₹30,000",Offline Renewal Only
POL967E,Life,Covers accidental damage and theft,Adventure sports injuries excluded,10 Years,"₹20,000",Offline Renewal Only
POL917M,Health,Covers accidental damage and theft,Claims under alcohol influence excluded,10 Years,"₹20,000",Online Renewal Available
POL697T,Property,Covers accidental damage and theft,Suicide not covered for first year,20 Years,"₹25,000",Offline Renewal Only
POL132R,Health,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,5 Years,"₹18,000",Offline Renewal Only
POL961G,Motor,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,5 Years,"₹25,000",Offline Renewal Only
POL700M,Motor,Covers accidental damage and theft,Adventure sports injuries excluded,20 Years,"₹15,000",Online Renewal Available
POL279J,Motor,Covers emergency medical expenses abroad,War-related damages excluded,3 Years,"₹15,000",Online Renewal Available
POL114J,Life,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,Annual,"₹10,000",Online Renewal Available
POL432J,Motor,Covers accidental damage and theft,War-related damages excluded,3 Years,"₹12,000",Online Renewal Available
POL165J,Health,Covers death due to natural or accidental causes,Suicide not covered for first year,10 Years,"₹20,000",Online Renewal Available
POL313R,Health,Covers emergency medical expenses abroad,War-related damages excluded,5 Years,"₹30,000",Online Renewal Available
POL463T,Health,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,10 Years,"₹18,000",Online Renewal Available
POL666R,Motor,Covers death due to natural or accidental causes,Claims under alcohol influence excluded,Annual,"₹8,000",Offline Renewal Only
POL607M,Health,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,Annual,"₹12,000",Online Renewal Available
POL136M,Health,Covers emergency medical expenses abroad,Dental and cosmetic procedures excluded,20 Years,"₹30,000",Online Renewal Available
POL885S,Property,Covers death due to natural or accidental causes,Pre-existing conditions excluded for 2 years,10 Years,"₹15,000",Online Renewal Available
POL591J,Travel,"Covers hospitalization up to ₹2,00,000",Dental and cosmetic procedures excluded,5 Years,"₹20,000",Offline Renewal Only
POL290Q,Life,Covers death due to natural or accidental causes,War-related damages excluded,Annual,"₹12,000",Offline Renewal Only
